req_id;title;source;arch_id;design_id;code_ref;test_id;verify_status;notes
REQ-SYS-0001;System start via mpx_pthread_start;User Manual;ARCH-0001;DES-0001;;TST-SYS-0001;PLANNED;Start flow per User Manual
REQ-SYS-0002;Full API surface per updated Reference Card;Reference Card;ARCH-0002;DES-0002;;TST-SYS-0002;PLANNED;Per-API requirements REQ-API-xxxx
REQ-SYS-0003;Traceability enforced via semicolon CSV gate;Both;ARCH-0005;DES-0005;tools/trace/trace_check.py;TST-GATE-0001;APPROVED;"CI gate for ';' CSV; blocks APPROVED rows missing code/test"
REQ-API-0001;API _mq_extend_open;Reference Card;ARCH-0002;DES-0002;;TST-API-0001;PLANNED;Surface only in provided docs
REQ-API-0002;API _pthread_attr_getcontrolsize;Reference Card;ARCH-0002;DES-0002;;TST-API-0002;PLANNED;Surface only in provided docs
REQ-API-0003;API _pthread_attr_getname;Reference Card;ARCH-0002;DES-0002;;TST-API-0003;PLANNED;Surface only in provided docs
REQ-API-0004;API _pthread_attr_getpriority;Reference Card;ARCH-0002;DES-0002;;TST-API-0004;PLANNED;Surface only in provided docs
REQ-API-0005;API _pthread_attr_gettimeslice;Reference Card;ARCH-0002;DES-0002;;TST-API-0005;PLANNED;Surface only in provided docs
REQ-API-0006;API _pthread_attr_setcontroladdr;Reference Card;ARCH-0002;DES-0002;;TST-API-0006;PLANNED;Surface only in provided docs
REQ-API-0007;API _pthread_attr_setname;Reference Card;ARCH-0002;DES-0002;;TST-API-0007;PLANNED;Surface only in provided docs
REQ-API-0008;API _pthread_attr_setpriority;Reference Card;ARCH-0002;DES-0002;;TST-API-0008;PLANNED;Surface only in provided docs
REQ-API-0009;API _pthread_attr_settimeslice;Reference Card;ARCH-0002;DES-0002;;TST-API-0009;PLANNED;Surface only in provided docs
REQ-API-0010;API _pthread_condattr_getcontroladdr;Reference Card;ARCH-0002;DES-0002;;TST-API-0010;PLANNED;Surface only in provided docs
REQ-API-0011;API _pthread_condattr_getname;Reference Card;ARCH-0002;DES-0002;;TST-API-0011;PLANNED;Surface only in provided docs
REQ-API-0012;API _pthread_condattr_setcontroladdr;Reference Card;ARCH-0002;DES-0002;;TST-API-0012;PLANNED;Surface only in provided docs
REQ-API-0013;API _pthread_condattr_setname;Reference Card;ARCH-0002;DES-0002;;TST-API-0013;PLANNED;Surface only in provided docs
REQ-API-0014;API _pthread_event_flags_create;Reference Card;ARCH-0002;DES-0002;;TST-API-0014;PLANNED;Surface only in provided docs
