api_name;req_id;source;return_code_notes;errno_symbols;param_validation_expected;state_error_expected;success_expected;notes
mpx_pthread_attr_getcontroladdr;REQ-API-0100;User Manual;MPX_SUCCESS (0) Successful retrieval of the thread control | address. | EINVAL Attributes structure pointer or thread control address destination pointer is invalid. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_condattr_getcontrolsize;REQ-API-0101;User Manual;MPX_SUCCESS (0) Successful retrieval of internal condition variable | control structure size. | EINVAL Invalid condition variable attributes or invalid destination for condition variable control structure size. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_event_flags_clear;REQ-API-0102;User Manual;MPX_SUCCESS (0) Successful event flags clear. | EINVAL Invalid event flags handle pointer or any/all events option. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. No preemption is possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (32 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_fastqueue_create;REQ-API-0103;User Manual;MPX_SUCCESS (0) Successful fastqueue creation. | EINVAL Invalid fastqueue handle pointer or attributes. | EBUSY Fastqueue is already created. | ENOMEM Insufficient memory to create fastqueue. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (160 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From:;EBUSY,EINVAL,ENOMEM;"On invalid parameters: return indicates failure; errno in {EBUSY, EINVAL, ENOMEM}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_fastqueueattr_getname;REQ-API-0104;User Manual;MPX_SUCCESS (0) Successful fastqueue attributes fastqueue name | retrieval. | EINVAL Invalid fastqueue attributes or fastqueue name pointer. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_memory_manager_enable;REQ-API-0105;User Manual;MPX_SUCCESS (0) Successful enablement of internal MPX RTOS | memory management. | EINVAL Invalid (NULL) pointer supplied to the | mpx_pthread_start API. | ENOME Not enough memory remaining. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. This service does not result in preemption. | Stack Usage Estimate: | From the location where this API is called, there should be at least (242 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context.;EINVAL,ENOME;"On invalid parameters: return indicates failure; errno in {EINVAL, ENOME}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_memorypool_free;REQ-API-0106;User Manual;MPX_SUCCESS (0) Successful memory release. | EINVAL Invalid memory pointer. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. No preemption occurs if no other threads are waiting for memory from the associated memory pool. | PREEMPTION. If a higher-priority thread is waiting for this amount of memory, it is resumed, and preemption will occur. | Stack Usage Estimate: | From the location where this API is called, at least (232 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_memorypoolattr_setname;REQ-API-0107;User Manual;MPX_SUCCESS (0) Successful memory pool attributes name set. | EINVAL Invalid memory pool attributes. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_mutexattr_getcontrolsize;REQ-API-0108;User Manual;MPX_SUCCESS (0) Successful retrieval of internal mutex control structure size. | EINVAL Invalid mutex attributes or mutex control structure size destination pointer. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_partitionpool_allocate;REQ-API-0109;User Manual;MPX_SUCCESS (0) Successful memory partition allocation. | EINVAL Invalid partition memory pool handle pointer, allocated memory destination pointer, or requested size. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. If the requested partition memory is available, no preemption takes place. | SUSPENSION. If the requested partition memory is unavailable, the calling thread is suspended until a memory partition becomes available. | Stack Usage Estimate: | From the location where this API is called, at least (100 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
